loudness,mode,tempo,duration_ms,genre_num
-12.856,0.0,106.106,391918.0,9.0
-11.32,1.0,126.972,369503.0,2.0
-7.794,1.0,76.846,236649.0,6.0
-5.998,1.0,126.993,179288.0,3.0
-4.905,0.0,127.993,189760.0,2.0
-7.465,0.0,149.894,263400.0,6.0
-4.95,1.0,134.008,250480.0,6.0
-9.033,1.0,126.089,226719.0,5.0
-19.136,1.0,132.793,107832.0,9.0
-8.545,1.0,144.088,201183.0,5.0
-5.019,0.0,87.01,222096.0,1.0
-8.056,1.0,124.882,319707.0,6.0
-7.033,1.0,177.143,246800.0,6.0
-7.128,0.0,94.994,121269.0,0.0
-8.481,1.0,133.203,288349.0,2.0
-9.658,1.0,177.98,204453.0,6.0
-6.951,0.0,78.027,192000.0,1.0
-8.67,1.0,77.512,207000.0,5.0
-3.142,0.0,123.055,258827.0,7.0
-4.269,1.0,204.93,177693.0,4.0
-4.212,0.0,81.955,237905.0,5.0
-5.909,1.0,108.039,146855.0,7.0
-8.415,1.0,86.97,191406.0,7.0
-10.42,1.0,90.885,249821.0,5.0
-8.767,1.0,131.0,218603.0,6.0
-6.907,1.0,97.981,193320.0,3.0
-7.327,1.0,170.814,194853.0,8.0
-7.913,1.0,115.018,287467.0,9.0
-7.548,0.0,82.258,180067.0,5.0
-6.824,1.0,127.027,213572.0,2.0
-5.33,1.0,112.188,194307.0,3.0
-3.598,1.0,108.017,208173.0,4.0
-7.936,1.0,128.003,176792.0,2.0
-5.954,0.0,153.426,202120.0,0.0
-6.644,1.0,148.014,212869.0,7.0
-4.563,1.0,79.805,169440.0,3.0
-5.564,1.0,92.341,197595.0,0.0
-10.714,0.0,136.191,174133.0,1.0
-7.501,1.0,156.051,201168.0,5.0
-4.639,1.0,161.989,203037.0,3.0
-4.954,1.0,170.02,272267.0,8.0
-7.043,1.0,155.986,221129.0,9.0
-9.85,1.0,87.127,289787.0,4.0
-13.101,1.0,101.983,181812.0,0.0
-9.764,1.0,118.381,216627.0,4.0
-4.907,1.0,170.411,278747.0,8.0
-4.934,1.0,121.924,179539.0,4.0
-6.803,0.0,76.546,258680.0,4.0
-4.622,1.0,131.986,293840.0,0.0
-8.931,1.0,134.001,206013.0,6.0
-16.778,1.0,99.981,225600.0,9.0
-7.838,1.0,117.418,558933.0,8.0
-4.029,0.0,133.986,154030.0,2.0
-7.064,1.0,119.93,269560.0,7.0
-11.23,0.0,100.086,289508.0,4.0
-4.937,1.0,96.012,240733.0,6.0
-6.135,1.0,106.998,173948.0,7.0
-8.934,0.0,119.941,146000.0,1.0
-10.33,1.0,145.359,164893.0,4.0
-7.917,1.0,102.048,231929.0,9.0
-14.467,1.0,100.607,508468.0,9.0
-8.364,1.0,132.045,173760.0,1.0
-4.865,1.0,160.087,224213.0,3.0
-11.648,0.0,138.582,495104.0,9.0
-2.528,1.0,129.035,145174.0,2.0
-10.875,1.0,155.587,355304.0,8.0
-5.239,0.0,105.06,202825.0,1.0
-2.947,0.0,81.99,210920.0,5.0
-6.045,1.0,88.506,184893.0,0.0
-7.83,0.0,134.951,199111.0,1.0
-9.25,1.0,100.065,266987.0,5.0
-8.254,0.0,100.186,235522.0,4.0
-7.786,1.0,126.008,247615.0,2.0
-12.778,1.0,92.726,191227.0,8.0
-7.325,1.0,148.217,350400.0,8.0
-6.19,0.0,119.969,259880.0,5.0
-7.304,0.0,133.264,447003.0,9.0
-6.761,1.0,139.631,278719.0,7.0
-1.939,1.0,126.004,203637.0,3.0
-5.728,1.0,77.989,207560.0,5.0
-5.048,1.0,118.008,234695.0,6.0
-7.674,1.0,77.0,191416.0,5.0
-6.757,1.0,160.333,225533.0,0.0
-10.283,1.0,203.006,281160.0,8.0
-5.611,1.0,89.032,231676.0,5.0
-5.72,1.0,140.016,192606.0,0.0
-10.275,0.0,112.214,183133.0,4.0
-7.513,1.0,135.177,239880.0,6.0
-18.969,1.0,79.112,562400.0,9.0
-13.078,0.0,95.029,137842.0,0.0
-4.563,0.0,129.899,184392.0,8.0
-7.704,1.0,103.949,205385.0,1.0
-9.889,1.0,100.024,427536.0,9.0
-4.524,0.0,114.948,209136.0,1.0
-8.49,0.0,124.009,377360.0,4.0
-15.57,0.0,100.658,274404.0,9.0
-4.067,1.0,123.997,227118.0,6.0
-5.927,0.0,132.008,251523.0,2.0
-10.219,0.0,75.208,209400.0,7.0
-4.849,0.0,123.845,238587.0,8.0
-7.619,1.0,143.551,344973.0,3.0
-14.671,0.0,115.022,228680.0,5.0
-4.996,0.0,133.937,276214.0,1.0
-5.731,1.0,86.016,196747.0,7.0
-7.974,0.0,131.974,357904.0,2.0
-6.413,1.0,105.006,185240.0,6.0
-9.147,0.0,78.513,220152.0,1.0
-5.707,0.0,100.01,198133.0,0.0
-6.252,0.0,132.004,207273.0,2.0
-7.036,1.0,159.877,183938.0,7.0
-9.484,1.0,147.125,391376.0,8.0
-8.227,0.0,75.016,220307.0,0.0
-10.842,1.0,149.152,138939.0,6.0
-8.735,1.0,90.737,200586.0,3.0
-4.512,0.0,110.028,284799.0,4.0
-5.048,1.0,117.384,272501.0,0.0
-9.307,1.0,127.224,225627.0,8.0
-4.314,1.0,76.805,198772.0,5.0
-23.61,1.0,179.205,144000.0,4.0
-13.496,1.0,84.581,264307.0,8.0
-4.157,0.0,140.002,305400.0,0.0
-7.936,0.0,89.974,233533.0,6.0
-3.825,1.0,159.579,195121.0,8.0
-2.677,0.0,125.992,208254.0,2.0
-11.556,0.0,80.984,192685.0,1.0
-6.749,1.0,131.734,174636.0,1.0
-5.895,1.0,97.0,93096.0,0.0
-3.852,0.0,100.012,182227.0,1.0
-4.042,1.0,118.009,145840.0,2.0
-5.782,1.0,127.057,157428.0,2.0
-7.878,1.0,123.931,216015.0,7.0
-3.304,1.0,123.28,240440.0,7.0
-5.884,1.0,121.001,209227.0,7.0
-11.603,1.0,118.066,517400.0,4.0
-13.328,0.0,117.005,167267.0,4.0
-8.087,1.0,50.827,217352.0,7.0
-9.071,1.0,142.009,297724.0,3.0
-5.802,0.0,96.967,260093.0,4.0
-4.025,1.0,135.997,235293.0,8.0
-4.848,0.0,157.905,197781.0,4.0
-4.689,1.0,128.977,223480.0,7.0
-9.494,1.0,84.552,236625.0,9.0
-7.406,1.0,170.087,169159.0,5.0
-14.319,0.0,106.038,330384.0,9.0
-18.288,0.0,83.521,370880.0,9.0
-7.807,1.0,179.995,191187.0,3.0
-8.889,1.0,118.655,179693.0,4.0
-8.66,0.0,91.285,539895.0,9.0
-5.495,0.0,127.026,195118.0,2.0
-4.189,1.0,203.803,170560.0,3.0
-3.909,1.0,126.77,159715.0,0.0
-7.628,1.0,108.18,286765.0,2.0
-5.23,1.0,122.982,280573.0,6.0
-5.707,1.0,155.973,216764.0,3.0
-5.727,0.0,75.021,134267.0,8.0
-3.771,1.0,159.922,207141.0,8.0
-3.773,1.0,148.044,169655.0,8.0
